Session;Académie;Sexe;Statut du candidat;Voie;Série;Diplôme spécialité;Nombre d'inscrits;Nombre de présents;Nombre d'admis au 1er groupe;Nombre de refusés au 1er groupe;Nombre d'ajournés, passant les épreuves du 2nd groupe;Nombre d'admis à l'issue du 2nd groupe;Nombre de refusés à l'issue du 2nd groupe;Nombre d'admis totaux;Nombre d'admis avec mention TB avec les félicitations du jury;Nombre d'admis avec mention TB sans les félicitations du jury;Nombre d'admis avec mention B;Nombre d'admis avec mention AB;Nombre d'admis sans mention;Nombre de refusés totaux
2021;STRASBOURG;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25106 TECHNICIEN D'USINAGE;4.0;4.0;4.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0;0.0
2021;STRASBOURG;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25216 MAINT.VEHIC.OPTC MOTOCYCLES;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
2021;STRASBOURG;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25411 TECH.CHAUDRONNERIE INDUSTRIELLE;3.0;3.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;1.0;1.0;0.0;0.0
2021;STRASBOURG;FILLES;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 31107 CONDUCT. TRANSP.ROUT.MARCHANDISES;6.0;6.0;3.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;1.0;3.0
2021;STRASBOURG;FILLES;SCOLAIRE;BAC TECHNOLOGIQUE;STMG;BAC STMG GESTION ET FINANCE;163.0;163.0;158.0;2.0;3.0;1.0;2.0;159.0;0.0;8.0;35.0;59.0;57.0;4.0
2021;STRASBOURG;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 21001 AGRO-EQUIPEMENT;16.0;15.0;15.0;0.0;0.0;0.0;0.0;15.0;0.0;1.0;2.0;5.0;7.0;0.0
2021;STRASBOURG;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 20102 PILOTE DE LIGNE DE PRODUCTION;20.0;20.0;20.0;0.0;0.0;0.0;0.0;20.0;0.0;6.0;7.0;7.0;0.0;0.0
2021;STRASBOURG;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25214 MAINT.VEHIC.OPTA VOIT.PARTICUL.;87.0;86.0;78.0;7.0;1.0;0.0;1.0;78.0;0.0;7.0;25.0;35.0;11.0;8.0
2021;STRASBOURG;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25216 MAINT.VEHIC.OPTC MOTOCYCLES;2.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0
2021;STRASBOURG;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25410 CONSTRUCTION DES CARROSSERIES;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
2021;STRASBOURG;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 30001 GESTION-ADMINISTRATION;3.0;3.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;1.0
2021;STRASBOURG;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 32207 REAL.PR.IMPR.PLURI.OPTA.PR.GRAPH.;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
2021;STRASBOURG;GARCONS;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 32208 REAL.PR.IMPR.PLURI.OPTB.PR.IMPR.;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
2021;STRASBOURG;GARCONS;ENSEIGNEMENT A DISTANCE;BAC GENERAL;GENERALE;BAC GENE 10019 BAC GENERAL;22.0;20.0;19.0;1.0;0.0;0.0;0.0;19.0;0.0;4.0;7.0;4.0;4.0;1.0
2021;STRASBOURG;GARCONS;ENSEIGNEMENT A DISTANCE;BAC TECHNOLOGIQUE;STMG;BAC STMG RESSOURCES HUMAINES ET COMMUNICATION;2.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0
2021;STRASBOURG;GARCONS;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 34403 METIERS DE LA SECURITE;7.0;7.0;7.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;1.0;2.0;4.0;0.0
2021;STRASBOURG;GARCONS;INDIVIDUEL;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 21211 COND GEST ENTR HIPPIQUE;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2021;STRASBOURG;GARCONS;INDIVIDUEL;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25408 REPARATION DES CARROSSERIES;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021;STRASBOURG;GARCONS;INDIVIDUEL;BAC TECHNOLOGIQUE;STAV;BAC STAV AGRONOMIE ALIM ENV TERRITOI;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC GENERAL;GENERALE;BAC GENE 10019 BAC GENERAL;4420.0;4420.0;4232.0;32.0;156.0;79.0;77.0;4311.0;85.0;582.0;1061.0;1483.0;1100.0;109.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 21114 CONDUITE PRODUCTIONS HORTICOLES;7.0;7.0;7.0;0.0;0.0;0.0;0.0;7.0;0.0;1.0;2.0;2.0;2.0;0.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 21405 AMENAGEMENTS PAYSAGERS;18.0;18.0;18.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;2.0;3.0;13.0;0.0
2021;STRASBOURG;GARCONS;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 22107 TEC CONS VTE ALIMENTATION P.ALIM;6.0;5.0;3.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;2.0
